Unnamed: 0,asphodelus,calicotome,castanea,ceratonia,ebenus,erica,eucalyptus,ferula,myrtus,olea,origanum,oxalis,pinus,pistacia,salvia,satureja,sinapis,thymbra,urginea,vitis
asphodelus,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
calicotome,0,296,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
castanea,0,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ceratonia,0,1,0,94,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1
ebenus,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erica,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eucalyptus,0,1,0,0,0,1,165,0,1,0,1,0,0,0,0,0,0,0,0,1
ferula,0,1,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0
myrtus,0,0,0,0,0,0,0,0,786,0,0,0,0,0,0,0,0,0,0,0
olea,0,1,0,0,0,0,1,0,1,785,0,0,0,0,0,0,2,0,0,0
origanum,0,0,0,3,0,0,1,0,0,1,166,0,0,0,0,0,0,0,0,0
oxalis,0,1,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0
pinus,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0
pistacia,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0
salvia,0,0,0,1,0,1,0,0,0,0,0,0,0,0,176,0,0,0,0,0
satureja,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,67,0,1,0,0
sinapis,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,195,0,0,0
thymbra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,145,0,0
urginea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0
vitis,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,265
